
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 20:32:21 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xc45c5b5e
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [6e+00, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2754.0000000
Found heuristic solution: objective 601.0000000
Found heuristic solution: objective 521.0000000
Presolve time: 0.07s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.214791e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1357664 1211953 -2915.3232   88  266  403.00000 -2915.3232   823%  55.0  420s
 1375293 1229888 -2915.3232  141  180  403.00000 -2915.3232   823%  54.8  425s
 1398706 1250406 -2915.3232  180  161  403.00000 -2915.3232   823%  54.5  430s
 1421696 1270414 -2915.3232   63  297  403.00000 -2915.3232   823%  54.3  435s
 1440449 1287815 -2915.3232   87  245  403.00000 -2915.3232   823%  54.2  440s
 1461810 1305676 -2915.3232   77  285  403.00000 -2915.3232   823%  54.0  445s
 1477903 1317838 -2915.3232   78  195  403.00000 -2915.3232   823%  54.0  450s
 1495436 1333971 -2915.3232  101  278  403.00000 -2915.3232   823%  54.0  455s
 1518523 1353655 -2915.3232   78  273  403.00000 -2915.3232   823%  53.8  460s
 1532928 1364985 -2915.3232  124  176  403.00000 -2915.3232   823%  53.8  465s
 1555728 1387247 -2915.3232   96  264  403.00000 -2915.3232   823%  53.9  470s
 1564233 1393979 -2915.3232  115  236  403.00000 -2915.3232   823%  54.0  475s
 1581513 1410253 -2915.3232  122  191  403.00000 -2915.3232   823%  54.0  480s
 1602885 1428821 -2915.3232  111  293  403.00000 -2915.3232   823%  54.0  485s
 1616092 1440984 -2915.3232  100  140  403.00000 -2915.3232   823%  54.0  490s
 1639360 1461534 -2915.3232  137  204  403.00000 -2915.3232   823%  53.8  495s
 1657955 1477989 -2915.3232   70  255  403.00000 -2915.3232   823%  53.7  500s
 1679156 1495908 -2915.3232   80  296  403.00000 -2915.3232   823%  53.5  505s
 1703090 1516898 -2915.3232   81  263  403.00000 -2915.3232   823%  53.4  510s
 1717507 1530566 -2915.3232  129  167  403.00000 -2915.3232   823%  53.6  515s
 1730153 1541719 -2915.3232  171  133  403.00000 -2915.3232   823%  53.7  520s
 1751214 1560196 -2915.3232  129  220  403.00000 -2915.3232   823%  53.6  525s
 1776853 1581801 -2915.3232  101  210  403.00000 -2915.3232   823%  53.5  530s
 1800320 1603878 -1918.0240  227   89  403.00000 -2915.3232   823%  53.3  535s
 1819617 1621416 -2915.3232  129  171  403.00000 -2915.3232   823%  53.2  540s
 1844420 1641948 -2915.3232   73  245  403.00000 -2915.3232   823%  53.1  545s
 1862943 1656706 -2915.3232  121  192  403.00000 -2915.3232   823%  53.1  550s
 1882111 1673657 -2915.3232   98  259  403.00000 -2915.3232   823%  53.0  555s
 1902011 1692081 -2915.3232   96  241  403.00000 -2915.3232   823%  52.8  560s
 1927935 1712456 -2915.3232  108  260  403.00000 -2915.3232   823%  52.7  565s
 1945326 1729494 -2915.3232  114  228  403.00000 -2915.3232   823%  52.6  570s
 1967627 1746842 -2915.3232   95  266  403.00000 -2915.3232   823%  52.5  575s
