
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 13:12:53 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random18.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 324 columns and 0 nonzeros
Model fingerprint: 0xaeabdc52
Model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3816.0000000
Found heuristic solution: objective 997.0000000
Found heuristic solution: objective 502.0000000
Found heuristic solution: objective 466.0000000
Presolve time: 0.08s
Presolved: 0 rows, 324 columns, 0 nonzeros
Presolved model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)

Root relaxation: objective -4.699711e+03, 327 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 3321840 3016796 -2379.6715   69  220  378.00000 -3132.4478   929%   5.1  375s
 3368155 3059737 -682.66416  185  120  378.00000 -3131.1549   928%   5.0  380s
 3409052 3096829 -241.46724  222   95  378.00000 -3129.9367   928%   5.1  385s
 3449169 3132316  306.47208  145  103  378.00000 -3128.1658   928%   5.1  390s
 3494074 3172215 -1344.8750   85  176  378.00000 -3126.8068   927%   5.0  395s
 3525535 3202416 -814.56220  160  134  378.00000 -3125.5953   927%   5.1  400s
 3563435 3236928 -2192.6266  104  201  378.00000 -3124.4082   927%   5.1  405s
 3589488 3260439 -1414.1943  158  164  378.00000 -3123.6543   926%   5.0  410s
 3629757 3296200 -2616.0675   50  232  378.00000 -3122.2351   926%   5.1  415s
 3672927 3335391 -2385.0727   79  234  378.00000 -3120.7389   926%   5.0  420s
 3717281 3374630  216.56318   78  129  378.00000 -3119.4619   925%   5.0  425s
 3754988 3409916 -2131.4126  129  181  378.00000 -3118.1552   925%   5.0  430s
 3796761 3447378 -519.49181  209  107  378.00000 -3117.0594   925%   5.0  435s
 3843575 3488353 -2699.5155   60  232  378.00000 -3115.1210   924%   5.1  440s
 3880887 3522197 -2471.2927   81  217  378.00000 -3114.0494   924%   5.1  445s
 3925962 3562763 -2695.0580   48  221  378.00000 -3112.5078   923%   5.1  450s
 3966695 3599282 -2220.7253   65  209  378.00000 -3111.4689   923%   5.1  455s
 4009997 3636889 -1722.3969   61  192  378.00000 -3110.4947   923%   5.1  460s
 4048775 3672302 -821.34636   94  168  378.00000 -3109.3171   923%   5.1  465s
 4083688 3704775 -1482.5799  154  163  378.00000 -3108.0523   922%   5.1  470s
 4122823 3738068 -2304.3163  102  209  378.00000 -3106.9431   922%   5.1  475s
 4165155 3776256 -2641.6862   70  226  378.00000 -3106.1521   922%   5.1  480s
 4208546 3817135 -2050.1985  100  187  378.00000 -3105.0817   921%   5.1  485s
 4258387 3862212 -2901.5845   58  241  378.00000 -3103.8031   921%   5.1  490s
 4302657 3903970 -2195.6585  116  192  378.00000 -3102.6868   921%   5.1  495s
 4336726 3932151 -3061.9633   57  263  378.00000 -3101.9903   921%   5.1  500s
 4368814 3964530 -1577.9337  165  148  378.00000 -3101.0975   920%   5.1  505s
