
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 23:40:18 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random15.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 225 columns and 0 nonzeros
Model fingerprint: 0xc509cc8e
Model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2940.0000000
Found heuristic solution: objective 712.0000000
Found heuristic solution: objective 498.0000000
Found heuristic solution: objective 445.0000000
Found heuristic solution: objective 444.0000000
Found heuristic solution: objective 409.0000000
Presolve time: 0.05s
Presolved: 0 rows, 225 columns, 0 nonzeros
Presolved model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Found heuristic solution: objective 386.0000000

Root relaxation: objective -4.331011e+03, 234 iterations, 0.01 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1346540 1139097 -621.63432  157   53  320.00000 -3933.8094  1329%  37.7  420s
 1369824 1158488 -177.15526  177   40  320.00000 -3933.8094  1329%  37.8  425s
 1393992 1177860 -182.43185  173   39  320.00000 -3933.8094  1329%  37.9  430s
 1416908 1199185 -2184.2242  147   92  320.00000 -3933.8094  1329%  37.9  435s
 1437043 1217473 -3933.8094  101  187  320.00000 -3933.8094  1329%  38.0  440s
 1458833 1234337 -1921.8445  118   87  320.00000 -3933.8094  1329%  37.9  445s
 1480247 1252572 -3933.8094   85  194  320.00000 -3933.8094  1329%  37.8  450s
 1505385 1273068 -3933.8094   96  186  320.00000 -3933.8094  1329%  37.7  455s
 1533133 1295024 -3933.8094   80  178  320.00000 -3933.8094  1329%  37.6  460s
 1548410 1308813 -3764.6494  125  142  320.00000 -3933.8094  1329%  37.7  466s
 1564820 1323335 -2263.8968   99  107  320.00000 -3933.8094  1329%  37.6  470s
 1578486 1334637 -1268.5604  159   61  320.00000 -3933.8094  1329%  37.7  475s
 1598012 1349475 -3933.8094   87  180  320.00000 -3933.8094  1329%  37.6  480s
 1614657 1364036 -3933.8094   72  181  320.00000 -3933.8094  1329%  37.5  485s
 1630360 1376562 -3933.8094   76  187  320.00000 -3933.8094  1329%  37.5  490s
 1642871 1387163 -3844.2587   88  135  320.00000 -3933.8094  1329%  37.6  495s
 1658620 1400807 -3933.8094   74  173  320.00000 -3933.8094  1329%  37.6  500s
 1675699 1414866 -1225.7660  120   62  320.00000 -3933.8094  1329%  37.5  505s
 1688737 1424644 -3933.8094   82  167  320.00000 -3933.8094  1329%  37.5  510s
 1704340 1438956 -694.00618  184   58  320.00000 -3933.8094  1329%  37.6  515s
 1725326 1455327 -3933.8094   84  170  320.00000 -3933.8094  1329%  37.5  520s
 1745987 1470315 -961.73184  148   64  320.00000 -3933.8094  1329%  37.5  532s
 1746019 1497309 -914.76453  149   63  320.00000 -3933.8094  1329%  37.5  545s
 1797076 1515290 -607.56315  160   55  320.00000 -3933.8094  1329%  37.4  550s
 1814045 1530924 -3933.8094  108  170  320.00000 -3933.8094  1329%  37.3  555s
 1836209 1548499 -3933.8094   87  192  320.00000 -3933.8094  1329%  37.3  560s
 1858528 1566383 -3933.8094   77  207  320.00000 -3933.8094  1329%  37.2  565s
 1879097 1583906 -3933.8094  103  181  320.00000 -3933.8094  1329%  37.3  570s
 1897470 1599092 -3933.8094   73  172  320.00000 -3933.8094  1329%  37.2  575s
 1918327 1613554 -2018.0876   74  105  320.00000 -3933.8094  1329%  37.1  589s
 1918364 1616489 -1955.7832   75  103  320.00000 -3933.8094  1329%  37.1  590s
 1940234 1634004 -3933.8094   78  166  320.00000 -3933.8094  1329%  37.0  595s
 1959216 1651304 -3933.8094   67  186  320.00000 -3933.8094  1329%  37.1  600s
 1980982 1667415 -3302.9793   58  134  320.00000 -3933.8094  1329%  37.1  605s
 1998526 1683362 -2555.8764  125  108  320.00000 -3933.8094  1329%  37.1  610s
 2014928 1695274 -3933.8094   91  146  320.00000 -3933.8094  1329%  37.2  615s
 2033445 1712160 -813.65248  124   64  320.00000 -3933.8094  1329%  37.1  620s
 2053124 1728768 -2036.5597  142   98  320.00000 -3933.8094  1329%  37.2  625s
 2075630 1747951 -3933.8094   99  172  320.00000 -3933.8094  1329%  37.2  630s
 2098021 1765898 -2362.4689  116  101  320.00000 -3933.8094  1329%  37.1  635s
 2117177 1779904 -3528.3171  104  126  320.00000 -3933.8094  1329%  37.0  640s
 2136229 1797716 -2654.5942  113  115  320.00000 -3933.8094  1329%  37.2  645s
 2156880 1815361 -3933.8094   92  182  320.00000 -3933.8094  1329%  37.1  650s
 2177630 1833342 -3482.5038   84  145  320.00000 -3933.8094  1329%  37.1  655s
 2195086 1849313 -3933.8094   88  176  320.00000 -3933.8094  1329%  37.2  660s
 2216683 1865008 -3933.8094   70  191  320.00000 -3933.8094  1329%  37.1  665s
 2234461 1881093 -3265.9030   90  137  320.00000 -3933.8094  1329%  37.2  670s
 2250549 1895639 -3933.8094  106  185  320.00000 -3933.8094  1329%  37.2  675s
 2278981 1918135 -3558.0592   70  148  320.00000 -3933.8094  1329%  37.1  680s
 2289953 1926587 -3933.8094   93  171  320.00000 -3933.8094  1329%  37.1  685s
