
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 03:42:54 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.14s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.05 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1243858 1104776 -2919.7918   72  288  402.00000 -2919.7918   826%  43.6  435s
 1261019 1118148 -2919.7918   95  284  402.00000 -2919.7918   826%  43.6  440s
 1275883 1132741 -2919.7918  117  204  402.00000 -2919.7918   826%  43.6  445s
 1297000 1152924 -2919.7918   74  262  402.00000 -2919.7918   826%  43.5  450s
 1312732 1165732 -2919.7918   71  243  402.00000 -2919.7918   826%  43.4  455s
 1327416 1178242 -2919.7918   65  320  402.00000 -2919.7918   826%  43.3  460s
 1342307 1190574 -2919.7918   89  204  402.00000 -2919.7918   826%  43.3  465s
 1359755 1205632 -2919.7918   81  260  402.00000 -2919.7918   826%  43.3  471s
 1372345 1218217 -2919.7918   76  298  402.00000 -2919.7918   826%  43.2  475s
 1386797 1229852 -2919.7918   70  278  402.00000 -2919.7918   826%  43.3  480s
 1401901 1242984 -2919.7918   97  260  402.00000 -2919.7918   826%  43.3  486s
 1406731 1243130 -2919.7918   79  255  402.00000 -2919.7918   826%  43.2  507s
 1410761 1250594 -2919.7918   95  301  402.00000 -2919.7918   826%  43.2  510s
 1427863 1265052 -2919.7918  119  205  402.00000 -2919.7918   826%  43.1  515s
 1440913 1275887 -2919.7918   90  229  402.00000 -2919.7918   826%  43.2  521s
 1453012 1287600 -2919.7918   89  267  402.00000 -2919.7918   826%  43.5  526s
 1468778 1302296 -2919.7918  127  194  402.00000 -2919.7918   826%  43.4  531s
 1480864 1312020 -2919.7918   86  217  402.00000 -2919.7918   826%  43.4  535s
 1497343 1327761 -2919.7918   82  260  402.00000 -2919.7918   826%  43.3  540s
 1513884 1343562 -2919.7918  156  127  402.00000 -2919.7918   826%  43.2  545s
 1532923 1359972 -2919.7918   75  285  402.00000 -2919.7918   826%  43.0  550s
 1552846 1376922 -2919.7918   70  308  402.00000 -2919.7918   826%  42.9  555s
 1567867 1390059 -2919.7918   94  263  402.00000 -2919.7918   826%  42.9  560s
 1583141 1400207 -2919.7918   61  292  402.00000 -2919.7918   826%  42.8  566s
 1593568 1412652 -2919.7918  134  245  402.00000 -2919.7918   826%  42.8  570s
 1610024 1426650 -2919.7918  101  282  402.00000 -2919.7918   826%  42.7  575s
 1628097 1443543 -2261.3843  168   80  402.00000 -2919.7918   826%  42.7  580s
 1645075 1457803 -1786.1182  228   58  402.00000 -2919.7918   826%  42.6  585s
 1660594 1472024 -2919.7918   94  235  402.00000 -2919.7918   826%  42.5  590s
 1676310 1487063 -2919.7918   81  288  402.00000 -2919.7918   826%  42.4  595s
 1693850 1502106 -2919.7918   79  292  402.00000 -2919.7918   826%  42.4  600s
 1714273 1518968 -2919.7918   59  281  402.00000 -2919.7918   826%  42.3  606s
 1730915 1534008 -2919.7918   72  275  402.00000 -2919.7918   826%  42.2  610s
 1751156 1551488 -2919.7918  113  109  402.00000 -2919.7918   826%  42.2  616s
 1765078 1564655 -2919.7918  132  233  402.00000 -2919.7918   826%  42.1  620s
 1782490 1579659 -2919.7918  155  157  402.00000 -2919.7918   826%  42.1  626s
 1791926 1587853 -2919.7918   67  239  402.00000 -2919.7918   826%  42.2  630s
 1807895 1602737 -2919.7918   86  267  402.00000 -2919.7918   826%  42.2  635s
 1827414 1620286 -2919.7918  154  141  402.00000 -2919.7918   826%  42.1  640s
 1847652 1637288 -2919.7918  110  281  402.00000 -2919.7918   826%  42.0  645s
 1862371 1649916 -2919.7918  121  109  402.00000 -2919.7918   826%  41.9  650s
 1885351 1669984 -2919.7918   88  267  402.00000 -2919.7918   826%  41.9  655s
 1900883 1684142 -2919.7918  107  286  402.00000 -2919.7918   826%  41.8  660s
 1917663 1699456 -2919.7918   78  239  402.00000 -2919.7918   826%  41.8  665s
 1936946 1716782 -2919.7918   60  338  402.00000 -2919.7918   826%  41.7  670s
 1953534 1731353 -2919.7918   80  297  402.00000 -2919.7918   826%  41.7  675s
 1970773 1747775 -2919.7918  134  205  402.00000 -2919.7918   826%  41.6  680s
 1985322 1759416 -2919.7918   81  214  402.00000 -2919.7918   826%  41.6  685s
 1997537 1771806 -2919.7918   63  290  402.00000 -2919.7918   826%  41.8  691s
 2008450 1782533 -2919.7918  124  158  402.00000 -2919.7918   826%  42.0  696s
 2023537 1794508 -2919.7918  108  222  402.00000 -2919.7918   826%  42.0  700s
 2043279 1811687 -2919.7918  102  150  402.00000 -2919.7918   826%  41.9  705s
 2059061 1824842 -2452.0845  223   83  402.00000 -2919.7918   826%  41.9  710s
 2082253 1846686 -2919.7918   95  280  402.00000 -2919.7918   826%  41.8  715s
 2104405 1866464 -2919.7918   73  293  402.00000 -2919.7918   826%  41.7  720s
 2135336 1894597 -2919.7918   59  270  402.00000 -2919.7918   826%  41.6  725s
 2153623 1911408 -2919.7918   83  275  402.00000 -2919.7918   826%  41.5  730s
 2171767 1927685 -2919.7918   83  280  402.00000 -2919.7918   826%  41.5  735s
 2187165 1939526  179.21380  260   26  402.00000 -2919.7918   826%  41.5  740s
 2204149 1953238 -2919.7918   78  271  402.00000 -2919.7918   826%  41.5  745s
 2216284 1964664 -2919.7918  186  119  402.00000 -2919.7918   826%  41.5  750s
 2226209 1976515 -2919.7918  108  195  402.00000 -2919.7918   826%  41.7  755s
 2244977 1990193 -2919.7918   95  285  402.00000 -2919.7918   826%  41.7  760s
 2259164 2004908 -2919.7918   96  202  402.00000 -2919.7918   826%  41.8  765s
 2272599 2016946 -2919.7918  105  246  402.00000 -2919.7918   826%  41.8  770s
 2289296 2032203 -2919.7918   66  286  402.00000 -2919.7918   826%  41.9  776s
 2301841 2041087 -2919.7918  101  185  402.00000 -2919.7918   826%  41.9  780s
 2320607 2057334 -2919.7918  120  226  402.00000 -2919.7918   826%  41.8  785s
 2337472 2072347 -2919.7918  119  172  402.00000 -2919.7918   826%  41.8  791s
 2353614 2086774 -2919.7918   67  244  402.00000 -2919.7918   826%  41.7  795s
 2370078 2102724 -2919.7918   79  245  402.00000 -2919.7918   826%  41.7  800s
 2389309 2118569 -2919.7918   70  227  402.00000 -2919.7918   826%  41.7  805s
 2402259 2132195 -2919.7918  185  114  402.00000 -2919.7918   826%  41.6  810s
 2424746 2149679 -2919.7918  139  195  402.00000 -2919.7918   826%  41.5  815s
 2444331 2166910 -2919.7918   85  265  402.00000 -2919.7918   826%  41.5  820s
 2458317 2179645 -2919.7918   92  251  402.00000 -2919.7918   826%  41.4  825s
 2479717 2197772 -2919.7918   71  244  402.00000 -2919.7918   826%  41.4  830s
 2496394 2214676 -2919.7918   83  279  402.00000 -2919.7918   826%  41.4  835s
 2517314 2232300 -1142.3988  218   38  402.00000 -2919.7918   826%  41.3  840s
 2534377 2246751 -2919.7918   81  272  402.00000 -2919.7918   826%  41.2  845s
 2552078 2261676 -2919.7918   82  242  402.00000 -2919.7918   826%  41.2  850s
 2565178 2275149 -2919.7918   69  206  402.00000 -2919.7918   826%  41.3  855s
 2585236 2290369 -2919.7918   72  264  402.00000 -2919.7918   826%  41.2  862s
 2585464 2319201 -2919.7918   73  259  402.00000 -2919.7918   826%  41.2  887s
 2620908 2327584 -2919.7918  133  196  402.00000 -2919.7918   826%  41.1  890s
 2644188 2344886 -2919.7918   77  222  402.00000 -2919.7918   826%  41.1  895s
 2665440 2364681 -2919.7918  108  222  402.00000 -2919.7918   826%  41.0  900s
 2685320 2381073 -2919.7918   68  292  402.00000 -2919.7918   826%  41.0  905s
 2705576 2396584 -2919.7918   70  232  402.00000 -2919.7918   826%  40.9  910s
 2718573 2411087 -2919.7918   90  288  402.00000 -2919.7918   826%  41.1  915s
 2736524 2428157 -2919.7918   62  279  402.00000 -2919.7918   826%  41.0  920s
 2752241 2441382 -2919.7918   67  289  402.00000 -2919.7918   826%  41.0  925s
 2770312 2458220 -2919.7918   82  240  402.00000 -2919.7918   826%  40.9  930s
 2788742 2472774 -2919.7918  137  177  402.00000 -2919.7918   826%  40.9  935s
