
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:38:05 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.34s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2310446 1847310 -238.58177  155   43  306.00000 -1555.8883   608%  31.7  470s
 2343916 1872343 -1555.8883  107   93  306.00000 -1555.8883   608%  31.6  475s
 2379979 1900482 -1555.8883  102  146  306.00000 -1555.8883   608%  31.6  480s
 2412863 1926261 -1338.8778  125   56  306.00000 -1555.8883   608%  31.6  485s
 2451051 1956181 -1555.8883  121  108  306.00000 -1555.8883   608%  31.5  490s
 2485904 1983844 -1555.8883  125   77  306.00000 -1555.8883   608%  31.5  495s
 2518178 2010138 -1555.8883  110   91  306.00000 -1555.8883   608%  31.5  500s
 2553563 2037213 -1555.8883   94  112  306.00000 -1555.8883   608%  31.5  505s
 2589849 2063943 -1555.8883  114  119  306.00000 -1555.8883   608%  31.4  510s
 2623007 2090469 -1555.8883  132  123  306.00000 -1555.8883   608%  31.4  515s
 2657963 2117954 -199.21297  145   35  306.00000 -1555.8883   608%  31.3  520s
 2691234 2142189 -1555.8883  117  101  306.00000 -1555.8883   608%  31.3  527s
 2699428 2152086 -1555.8883  108  100  306.00000 -1555.8883   608%  31.3  530s
 2729617 2175887 -1555.8883   98  130  306.00000 -1555.8883   608%  31.3  535s
 2765815 2204176 -1555.8883   80  140  306.00000 -1555.8883   608%  31.3  540s
 2800585 2229796 -1555.8883  102  118  306.00000 -1555.8883   608%  31.3  545s
 2839031 2260375 -1555.8883  117   85  306.00000 -1555.8883   608%  31.2  550s
 2873629 2286137 -1555.8883  115  140  306.00000 -1555.8883   608%  31.2  555s
 2910314 2315256 -1555.8883  108  128  306.00000 -1555.8883   608%  31.1  560s
 2942127 2340363 -1555.8883   98  124  306.00000 -1555.8883   608%  31.1  565s
 2975546 2367713   19.43231  144   22  306.00000 -1555.8883   608%  31.2  570s
 3011386 2395593 -1555.8883   79  136  306.00000 -1555.8883   608%  31.1  575s
 3046033 2422282 -1555.8883   86  126  306.00000 -1555.8883   608%  31.1  580s
 3083305 2450626 -1519.3786  136   65  306.00000 -1555.8883   608%  31.0  585s
 3113863 2474608 -1555.8883   90  123  306.00000 -1555.8883   608%  31.0  590s
 3154192 2505975 -1555.8883   92  142  306.00000 -1555.8883   608%  31.0  595s
 3186388 2529131 -1555.8883  107   98  306.00000 -1555.8883   608%  31.0  600s
 3222141 2558524 -1555.8883  104  122  306.00000 -1555.8883   608%  31.0  605s
 3257886 2585790 -1555.8883  109  121  306.00000 -1555.8883   608%  30.9  610s
 3293006 2612897 -1555.8883  107  133  306.00000 -1555.8883   608%  30.9  615s
 3331539 2643173 -913.52979  143   57  306.00000 -1555.8883   608%  30.8  620s
 3369604 2672128 -1151.4889  129   69  306.00000 -1555.8883   608%  30.7  625s
 3407694 2701901 -1555.8883  113  125  306.00000 -1555.8883   608%  30.7  630s
 3443201 2729525 -1555.8883   88  142  306.00000 -1555.8883   608%  30.7  635s
 3463368 2745358 -1555.8883  113  113  306.00000 -1555.8883   608%  30.7  640s
 3497897 2772637 -1555.8883   91  128  306.00000 -1555.8883   608%  30.7  645s
 3533518 2799645 -1555.8883  109  124  306.00000 -1555.8883   608%  30.6  650s
 3573652 2830902 -230.82652  119   33  306.00000 -1555.8883   608%  30.6  655s
 3611357 2858761 -1555.8883  105  122  306.00000 -1555.8883   608%  30.6  660s
 3649166 2887209 -1555.8883  102   94  306.00000 -1555.8883   608%  30.5  665s
 3685614 2915019 -1555.8883   95  118  306.00000 -1555.8883   608%  30.5  670s
 3718727 2940849 -1555.8883  100  123  306.00000 -1555.8883   608%  30.5  675s
 3754307 2968541 -1555.8883   96  135  306.00000 -1555.8883   608%  30.4  680s
 3787878 2995038 -1555.8883  124  112  306.00000 -1555.8883   608%  30.4  685s
 3834960 3031389 -1555.8883   90  128  306.00000 -1555.8883   608%  30.4  690s
 3875286 3062131 -1555.8883  111   76  306.00000 -1555.8883   608%  30.3  695s
