
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:33:53 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0xc040ad5e
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [1e+01, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2324.0000000
Found heuristic solution: objective 513.0000000
Found heuristic solution: objective 413.0000000
Found heuristic solution: objective 401.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.129000e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 3214629 2616635 -1738.7397   88  119  307.00000 -1738.7397   666%  30.6  590s
 3245646 2640537 -798.48155  133   53  307.00000 -1738.7397   666%  30.6  595s
 3256708 2646158 -1738.7397  107  126  307.00000 -1738.7397   666%  30.6  600s
 3283265 2670649 -1738.7397  113  118  307.00000 -1738.7397   666%  30.6  605s
 3314655 2694615 -1738.7397   98   85  307.00000 -1738.7397   666%  30.5  610s
 3345463 2719301 -1738.7397   93  124  307.00000 -1738.7397   666%  30.5  615s
 3382265 2747696 -1736.4106   94   83  307.00000 -1738.7397   666%  30.5  620s
 3413247 2771856 -1552.6280  124   78  307.00000 -1738.7397   666%  30.5  625s
 3443228 2796823 -1738.7397   83  152  307.00000 -1738.7397   666%  30.5  630s
 3484075 2830095 -711.21156  117   61  307.00000 -1738.7397   666%  30.4  635s
 3511925 2852331 -493.26753  133   61  307.00000 -1738.7397   666%  30.5  640s
 3538975 2871923 -1738.7397   99   96  307.00000 -1738.7397   666%  30.5  645s
 3566645 2894814 -1738.7397  104  123  307.00000 -1738.7397   666%  30.5  650s
 3599920 2920712 -1738.7397   90  132  307.00000 -1738.7397   666%  30.5  655s
 3631016 2944648 -1738.7397  115  119  307.00000 -1738.7397   666%  30.4  660s
 3660460 2967177     cutoff  166       307.00000 -1738.7397   666%  30.4  665s
 3687664 2988488 -1738.7397   97  120  307.00000 -1738.7397   666%  30.4  670s
 3724457 3017261 -1738.7397   93  133  307.00000 -1738.7397   666%  30.4  675s
 3755066 3041339 -1738.7397  104  119  307.00000 -1738.7397   666%  30.4  680s
 3762535 3047300 -1738.7397  102  139  307.00000 -1738.7397   666%  30.4  685s
 3794241 3072929 -1738.7397   96  132  307.00000 -1738.7397   666%  30.3  690s
 3820982 3093867 -993.13190  104   76  307.00000 -1738.7397   666%  30.3  695s
 3849970 3115685 -1738.7397   82  119  307.00000 -1738.7397   666%  30.3  700s
 3878773 3138017 -846.83392  120   61  307.00000 -1738.7397   666%  30.3  705s
 3900964 3155849 -1738.7397   97  110  307.00000 -1738.7397   666%  30.3  710s
 3927367 3176565 -1738.7397  104  148  307.00000 -1738.7397   666%  30.3  715s
 3953098 3195199 -1738.7397   79   90  307.00000 -1738.7397   666%  30.3  720s
 3978840 3216765 -1738.7397   85  127  307.00000 -1738.7397   666%  30.3  725s
 4005013 3234656 -1738.7397   86  119  307.00000 -1738.7397   666%  30.3  732s
 4015986 3245691 -1738.7397  116  120  307.00000 -1738.7397   666%  30.3  735s
 4034416 3260553 -1738.7397   89  125  307.00000 -1738.7397   666%  30.3  740s
 4057257 3278387 -1479.8703  123   68  307.00000 -1738.7397   666%  30.3  745s
 4079413 3295255 -1738.7397  105  124  307.00000 -1738.7397   666%  30.3  750s
 4097547 3310498 -1738.7397  100  119  307.00000 -1738.7397   666%  30.3  755s
 4112431 3320526 -1738.7397  103   96  307.00000 -1738.7397   666%  30.3  760s
 4128728 3334722 -1738.7397   90  119  307.00000 -1738.7397   666%  30.2  765s
 4147141 3347960 -1738.7397   98  127  307.00000 -1738.7397   666%  30.2  770s
 4164946 3362070 -262.01156  139   57  307.00000 -1738.7397   666%  30.2  776s
 4183005 3376499 -1738.7397  109  147  307.00000 -1738.7397   666%  30.2  780s
 4205329 3391610 -1738.7397  125  122  307.00000 -1738.7397   666%  30.2  786s
 4221553 3407015 -1738.7397  121  120  307.00000 -1738.7397   666%  30.2  790s
 4235660 3417123 -1738.7397  103  120  307.00000 -1738.7397   666%  30.1  795s
 4252468 3430556 -1738.7397  105  125  307.00000 -1738.7397   666%  30.1  800s
 4270966 3443716 -1738.7397   96  116  307.00000 -1738.7397   666%  30.1  805s
 4287452 3458157 -1738.7397   86  116  307.00000 -1738.7397   666%  30.1  811s
 4303060 3469993 -596.64822  146   40  307.00000 -1738.7397   666%  30.1  815s
 4318913 3483131 -1728.8128  100   89  307.00000 -1738.7397   666%  30.1  821s
 4335836 3494626 -1015.8216  159   66  307.00000 -1738.7397   666%  30.1  825s
 4354932 3509286 -1738.7397  124  118  307.00000 -1738.7397   666%  30.1  830s
 4377478 3527609 -1181.3291  115   75  307.00000 -1738.7397   666%  30.1  835s
 4401359 3546016 -1738.7397   85  132  307.00000 -1738.7397   666%  30.1  840s
 4421768 3559570 -1698.7684  121   81  307.00000 -1738.7397   666%  30.1  848s
 4428964 3567208 -1738.7397  102  104  307.00000 -1738.7397   666%  30.1  850s
 4454205 3588042 -1041.6734  114   74  307.00000 -1738.7397   666%  30.1  855s
 4483901 3610198 -1738.7397   81  120  307.00000 -1738.7397   666%  30.1  860s
 4514722 3635224 -1738.7397   87  139  307.00000 -1738.7397   666%  30.0  865s
 4539797 3655667 -1738.7397   98   97  307.00000 -1738.7397   666%  30.0  870s
 4569435 3679647 -1738.7397  124  122  307.00000 -1738.7397   666%  30.0  875s
 4600235 3703369 -1738.7397   94  110  307.00000 -1738.7397   666%  30.0  880s
 4630316 3727449 -1738.7397  101   96  307.00000 -1738.7397   666%  30.0  885s
 4662449 3753122 -1645.9012  125   91  307.00000 -1738.7397   666%  29.9  890s
 4692375 3776954 -1280.6983  131   70  307.00000 -1738.7397   666%  29.9  895s
 4722862 3801188 -1010.2720  108   66  307.00000 -1738.7397   666%  29.9  900s
 4750822 3823828 -1738.7397   84  153  307.00000 -1738.7397   666%  29.9  905s
 4782568 3845510 -1738.7397  103  132  307.00000 -1738.7397   666%  29.9  911s
 4799367 3860511 -1738.7397  109   99  307.00000 -1738.7397   666%  29.9  915s
 4832111 3886023 -1738.7397   88  137  307.00000 -1738.7397   666%  29.8  920s
 4863690 3909615 -809.92984  101   59  307.00000 -1738.7397   666%  29.8  925s
 4891132 3931504 -1738.7397   88  134  307.00000 -1738.7397   666%  29.8  930s
 4920518 3953696 -1738.7397  112  124  307.00000 -1738.7397   666%  29.8  935s
 4946902 3975205 -580.38870  174   50  307.00000 -1738.7397   666%  29.8  940s
 4980189 4000409 -1738.7397   91  117  307.00000 -1738.7397   666%  29.8  945s
 5009895 4022394 -1738.7397   95  125  307.00000 -1738.7397   666%  29.8  950s
 5042725 4049132 -1738.7397   98  135  307.00000 -1738.7397   666%  29.7  955s
 5076870 4076952 -1738.7397  109  127  307.00000 -1738.7397   666%  29.7  960s
