
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 19:32:23 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.60s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 4669466 3544515 -2038.3091   72  118  375.00000 -2038.3091   644%  23.1  495s
 4726519 3585962 -1129.2181   93   65  375.00000 -2038.3091   644%  23.1  500s
 4778458 3621819 -1930.2300   70   99  375.00000 -2038.3091   644%  23.0  505s
 4838492 3663956 -2038.3091   79   83  375.00000 -2038.3091   644%  23.0  510s
 4895895 3707207     cutoff  114       375.00000 -2038.3091   644%  23.0  515s
 4957112 3750534 -2038.3091   95   85  375.00000 -2038.3091   644%  22.9  520s
 5024199 3798760 -1797.4381   80   75  375.00000 -2038.3091   644%  22.9  525s
 5082219 3841854 -2038.3091   82   70  375.00000 -2038.3091   644%  22.8  530s
 5136413 3879161 -2038.3091   98  105  375.00000 -2038.3091   644%  22.8  535s
 5191761 3919383 -1139.5782   87   59  375.00000 -2038.3091   644%  22.8  540s
 5237490 3952697 -2038.3091   82   98  375.00000 -2038.3091   644%  22.8  545s
 5288638 3989696 -1526.2179   98   71  375.00000 -2038.3091   644%  22.7  550s
 5335063 4021233 -2038.3091   68  116  375.00000 -2038.3091   644%  22.7  555s
 5383262 4053173 -2038.3091   83   91  375.00000 -2038.3091   644%  22.7  561s
 5383537 4077074 -2038.3091   84   72  375.00000 -2038.3091   644%  22.7  568s
 5430318 4089813 -2038.3091   87   86  375.00000 -2038.3091   644%  22.7  570s
 5479050 4124660 -1339.6432  107   61  375.00000 -2038.3091   644%  22.6  575s
 5531779 4162342 -1800.2722  116   53  375.00000 -2038.3091   644%  22.6  580s
 5585054 4200572 -1055.0713  100   60  375.00000 -2038.3091   644%  22.6  585s
 5644288 4243362     cutoff  122       375.00000 -2038.3091   644%  22.5  590s
 5682163 4269825  -46.25166   97   30  375.00000 -2038.3091   644%  22.5  595s
 5728928 4303514 -2038.3091   72   97  375.00000 -2038.3091   644%  22.5  600s
 5783696 4342473  142.89113  110   22  375.00000 -2038.3091   644%  22.5  605s
 5836198 4379626 -1151.4482  108   53  375.00000 -2038.3091   644%  22.4  610s
 5892228 4420649 -1881.1031   87   73  375.00000 -2038.3091   644%  22.4  615s
 5951923 4462968 -2038.3091   76   89  375.00000 -2038.3091   644%  22.4  620s
 6009248 4504891 -151.91166   97   26  375.00000 -2038.3091   644%  22.3  625s
 6066280 4545051 -648.15816  105   33  375.00000 -2038.3091   644%  22.3  630s
 6119204 4582540 -1822.6647   75   95  375.00000 -2038.3091   644%  22.3  635s
 6169496 4619548 -2038.3091   68   87  375.00000 -2038.3091   644%  22.2  640s
 6232204 4663431 -2038.3091   74  106  375.00000 -2038.3091   644%  22.2  645s
 6286896 4702700 -2038.3091   98  103  375.00000 -2038.3091   644%  22.2  650s
 6339378 4739729 -1973.0387  110   68  375.00000 -2038.3091   644%  22.2  655s
 6389658 4775614 -2038.3091   79   92  375.00000 -2038.3091   644%  22.1  660s
 6444731 4816159 -1123.8676   96   70  375.00000 -2038.3091   644%  22.1  665s
 6504004 4856191 -2038.3091  107   90  375.00000 -2038.3091   644%  22.1  670s
 6561673 4898130 -1666.5400  107   59  375.00000 -2038.3091   644%  22.0  675s
 6604277 4926509 -2038.3091   93   86  375.00000 -2038.3091   644%  22.0  681s
 6634926 4950379 -2038.3091   72   91  375.00000 -2038.3091   644%  22.0  685s
 6690269 4989043 -2038.3091   90   94  375.00000 -2038.3091   644%  22.0  690s
 6750106 5031583 -1761.1842   78   84  375.00000 -2038.3091   644%  21.9  695s
 6809225 5073516 -2035.0088   98   74  375.00000 -2038.3091   644%  21.9  700s
 6870838 5116974 -1000.4980  107   43  375.00000 -2038.3091   644%  21.9  705s
 6931140 5160451 -699.78115  106   53  375.00000 -2038.3091   644%  21.8  710s
 6987292 5200910 -1889.2226   74   91  375.00000 -2038.3091   644%  21.8  715s
 7053739 5246855 -2038.3091   98   82  375.00000 -2038.3091   644%  21.8  720s
 7105507 5282470 -1896.3952   83   76  375.00000 -2038.3091   644%  21.8  725s
 7162477 5321904 -2038.3091   88  102  375.00000 -2038.3091   644%  21.8  730s
 7218164 5362673     cutoff  110       375.00000 -2038.3091   644%  21.7  735s
 7265272 5394173 -2038.3091   87   87  375.00000 -2038.3091   644%  21.7  740s
 7306180 5423453 -1961.8926   90   70  375.00000 -2038.3091   644%  21.7  745s
 7375348 5470918  222.13492  135   19  375.00000 -2038.3091   644%  21.7  750s
 7430736 5508768 -2038.3091   97   75  375.00000 -2038.3091   644%  21.7  755s
 7456101 5528014 -2038.3091   90   67  375.00000 -2038.3091   644%  21.6  760s
 7488018 5549059 -1340.0197  107   60  375.00000 -2038.3091   644%  21.6  765s
 7512303 5565388 -2023.8677   86   91  375.00000 -2038.3091   644%  21.6  770s
 7537994 5583926 -195.71555   90   37  375.00000 -2038.3091   644%  21.6  775s
 7575255 5610416 -2038.3091   92   89  375.00000 -2038.3091   644%  21.6  780s
 7610090 5633823 -972.02638   86   73  375.00000 -2038.3091   644%  21.6  785s
 7644510 5658139 -1793.9288   72   71  375.00000 -2038.3091   644%  21.6  790s
 7686708 5687936 -1355.0306  126   63  375.00000 -2038.3091   644%  21.5  795s
 7741806 5725803 -2038.3091   90   87  375.00000 -2038.3091   644%  21.5  800s
 7793940 5764047 -2038.3091   78   87  375.00000 -2038.3091   644%  21.5  805s
 7824251 5784730 -2038.3091   85   83  375.00000 -2038.3091   644%  21.5  810s
 7875730 5819852 -2038.3091  101   80  375.00000 -2038.3091   644%  21.5  815s
 7939850 5864034     cutoff  122       375.00000 -2038.3091   644%  21.5  820s
 7999368 5905659 -2038.3091   94   81  375.00000 -2038.3091   644%  21.4  825s
 8057288 5946518 -1408.2780   79   76  375.00000 -2038.3091   644%  21.4  830s
 8114308 5988065 -2038.3091   90   85  375.00000 -2038.3091   644%  21.4  835s
 8171105 6026481 -2038.3091   79   82  375.00000 -2038.3091   644%  21.4  840s
 8227158 6066033   84.45530  107   29  375.00000 -2038.3091   644%  21.4  845s
 8287903 6108494 -2038.3091   80   86  375.00000 -2038.3091   644%  21.3  850s
 8341079 6145788 -1759.1825   76  102  375.00000 -2038.3091   644%  21.3  855s
 8392401 6182307 -970.50775   98   53  375.00000 -2038.3091   644%  21.3  860s
 8448266 6222822     cutoff  151       375.00000 -2038.3091   644%  21.3  865s
 8509513 6264506 -982.37115  108   45  375.00000 -2038.3091   644%  21.2  870s
 8551020 6293498 -378.56847  100   42  375.00000 -2038.3091   644%  21.2  875s
 8603207 6328588 -1695.7491   86   76  375.00000 -2038.3091   644%  21.2  880s
 8665968 6372884 -2038.3091  106   88  375.00000 -2038.3091   644%  21.2  885s
 8705317 6399332 -1708.8620   74  103  375.00000 -2038.3091   644%  21.2  890s
 8760487 6438376 -2038.3091   91   92  375.00000 -2038.3091   644%  21.2  895s
 8801736 6466697 -1354.3941  125   68  375.00000 -2038.3091   644%  21.2  900s
 8848884 6497978 -2038.3091   86   97  375.00000 -2038.3091   644%  21.1  905s
 8904940 6535278 -1880.8747   95   76  375.00000 -2038.3091   644%  21.1  910s
 8965416 6577319 -420.14722   98   44  375.00000 -2038.3091   644%  21.1  915s
 9015727 6612272 -373.49354  116   40  375.00000 -2038.3091   644%  21.1  920s
 9067939 6648865     cutoff  134       375.00000 -2038.3091   644%  21.1  925s
 9121160 6684293 -718.57196  110   45  375.00000 -2038.3091   644%  21.1  930s
 9175109 6723186 -222.03682  117   41  375.00000 -2038.3091   644%  21.0  935s
 9234262 6764469     cutoff  116       375.00000 -2038.3091   644%  21.0  940s
 9287941 6801454 -1081.9333  110   57  375.00000 -2038.3091   644%  21.0  945s
 9342531 6838790  268.56667   90   28  375.00000 -2038.3091   644%  21.0  950s
 9391175 6872952  347.18417   76   26  375.00000 -2038.3091   644%  21.0  955s
 9453452 6915102 -2005.0924   83   80  375.00000 -2038.3091   644%  21.0  960s
 9508398 6952091 -1112.3360   82   70  375.00000 -2038.3091   644%  20.9  965s
 9560027 6986836 -1273.9560  116   57  375.00000 -2038.3091   644%  20.9  970s
 9609947 7021247  229.44448  130   30  375.00000 -2038.3091   644%  20.9  975s
 9668631 7062030     cutoff  142       375.00000 -2038.3091   644%  20.9  980s
 9725444 7100898     cutoff  115       375.00000 -2038.3091   644%  20.9  985s
 9780374 7139342 -1788.6301   83   94  375.00000 -2038.3091   644%  20.9  990s
 9822171 7168171     cutoff  110       375.00000 -2038.3091   644%  20.8  995s
 9877377 7206473 -2038.3091   74   94  375.00000 -2038.3091   644%  20.8 1000s
 9927983 7241007  115.12799  119   32  375.00000 -2038.3091   644%  20.8 1005s
 9957289 7260995 -1599.2422   70   69  375.00000 -2038.3091   644%  20.8 1010s
 10008639 7295810 -2038.3091   93   78  375.00000 -2038.3091   644%  20.8 1015s
 10057068 7326478     cutoff   94       375.00000 -2038.3091   644%  20.8 1020s
 10097326 7355307 -1976.0300   95   78  375.00000 -2038.3091   644%  20.8 1025s
 10136472 7382372 -1799.1620  108   83  375.00000 -2038.3091   644%  20.8 1030s
 10168390 7403848 -506.72177  106   42  375.00000 -2038.3091   644%  20.8 1035s
 10191654 7419137 -2038.3091   82   86  375.00000 -2038.3091   644%  20.7 1040s
 10215072 7434752 -1555.7614  108   64  375.00000 -2038.3091   644%  20.7 1045s
 10236399 7450566 -1902.0962  109   73  375.00000 -2038.3091   644%  20.7 1050s
 10256423 7463616 -2038.3091   81   72  375.00000 -2038.3091   644%  20.7 1055s
 10273997 7475489 -1976.8489  122   75  375.00000 -2038.3091   644%  20.7 1060s
 10295376 7489685 -1665.1250  102   72  375.00000 -2038.3091   644%  20.7 1065s
 10316263 7503665 -1005.5208   86   75  375.00000 -2038.3091   644%  20.7 1070s
 10348285 7526048 -1849.0047   98   78  375.00000 -2038.3091   644%  20.7 1075s
 10376852 7545602 -2038.3091   76   83  375.00000 -2038.3091   644%  20.7 1080s
 10428465 7581116     cutoff  115       375.00000 -2038.3091   644%  20.7 1085s
 10483891 7619561 -2038.3091   68  108  375.00000 -2038.3091   644%  20.7 1090s
 10544981 7659763     cutoff  127       375.00000 -2038.3091   644%  20.7 1095s
 10613130 7705167 -1410.2950  115   57  375.00000 -2038.3091   644%  20.6 1100s
 10685166 7754240 -1300.5651   96   78  375.00000 -2038.3091   644%  20.6 1105s
 10760460 7805520  -76.38136  118   36  375.00000 -2038.3091   644%  20.6 1110s
 10842555 7861574 -2038.3091   86   97  375.00000 -2038.3091   644%  20.6 1115s
 10927235 7917628 -497.48211   95   40  375.00000 -2038.3091   644%  20.6 1120s
 11010488 7974843 -1562.1536   73   96  375.00000 -2038.3091   644%  20.5 1125s
 11102156 8036841   99.21981   81   37  375.00000 -2038.3091   644%  20.5 1130s
 11188709 8096906 -2038.3091   85   97  375.00000 -2038.3091   644%  20.5 1135s
 11270833 8153010 -1439.8366   94   79  375.00000 -2038.3091   644%  20.5 1140s
