
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 16:31:46 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 13616747 10357966 -313.65401  145   41  306.00000 -1555.8883   608%  27.0  880s
 13710850 10426009  146.23782  105   32  306.00000 -1555.8883   608%  27.0  885s
 13809315 10499224 -1555.8883  109  101  306.00000 -1555.8883   608%  27.0  890s
 13878773 10551483  130.99099  153   22  306.00000 -1555.8883   608%  27.0  895s
 13965584 10613067 -1555.8883  123   72  306.00000 -1555.8883   608%  26.9  902s
 14012137 10649393   -0.90855   96   40  306.00000 -1555.8883   608%  26.9  905s
 14110129 10720475 -1215.6126  133   54  306.00000 -1555.8883   608%  26.9  910s
 14203805 10787169 -1555.8883  111  107  306.00000 -1555.8883   608%  26.9  915s
 14295235 10854981 -448.90231  130   45  306.00000 -1555.8883   608%  26.9  920s
 14390997 10924542 -1555.8883  122  101  306.00000 -1555.8883   608%  26.9  925s
 14485167 10993003 -545.71739  135   60  306.00000 -1555.8883   608%  26.9  930s
 14577544 11060820 -1555.8883  111   85  306.00000 -1555.8883   608%  26.9  935s
 14672576 11130219 -1555.8883   94  104  306.00000 -1555.8883   608%  26.8  940s
 14768047 11201596 -1555.8883   99  107  306.00000 -1555.8883   608%  26.8  945s
 14865242 11271814 -1555.8883  107   84  306.00000 -1555.8883   608%  26.8  950s
 14960550 11343057 -1555.8883  101  125  306.00000 -1555.8883   608%  26.8  955s
 15056963 11414385 -1555.8883  111  114  306.00000 -1555.8883   608%  26.8  960s
 15150912 11485059 -1555.8883  107  110  306.00000 -1555.8883   608%  26.8  965s
 15251145 11558822 -1555.8883  121  111  306.00000 -1555.8883   608%  26.8  970s
 15342560 11625603 -102.49051  120   34  306.00000 -1555.8883   608%  26.7  975s
 15431570 11691377 -1555.8883   94  116  306.00000 -1555.8883   608%  26.7  980s
 15512059 11747023 -1555.8883  100  112  306.00000 -1555.8883   608%  26.7  986s
 15564069 11788042 -1555.8883  114  119  306.00000 -1555.8883   608%  26.7  990s
 15647434 11846836   21.98155  160   36  306.00000 -1555.8883   608%  26.7  995s
 15726461 11907221  155.15006  141   23  306.00000 -1555.8883   608%  26.7 1000s
 15819350 11974946 -1555.8883   90  128  306.00000 -1555.8883   608%  26.7 1005s
 15886684 12021779 -1046.8113  133   48  306.00000 -1555.8883   608%  26.7 1010s
 15966823 12081966 -160.33906  131   39  306.00000 -1555.8883   608%  26.7 1015s
 16067391 12157129 -1555.8883   98  128  306.00000 -1555.8883   608%  26.6 1020s
 16161823 12225820 -1555.8883  124  113  306.00000 -1555.8883   608%  26.6 1025s
 16257079 12294522 -1555.8883  107  103  306.00000 -1555.8883   608%  26.6 1030s
 16357683 12367599 -1555.8883   91  119  306.00000 -1555.8883   608%  26.6 1035s
 16451567 12436501 -1555.8883  118  112  306.00000 -1555.8883   608%  26.6 1040s
 16545540 12503908 -1555.8883  116  124  306.00000 -1555.8883   608%  26.6 1045s
 16644076 12576735 -1555.8883  112  108  306.00000 -1555.8883   608%  26.6 1050s
 16744176 12651227 -445.86859  134   40  306.00000 -1555.8883   608%  26.5 1055s
 16836550 12719349 -1555.8883   95   95  306.00000 -1555.8883   608%  26.5 1060s
 16889938 12758857 -1555.8883   97  118  306.00000 -1555.8883   608%  26.5 1065s
 16981681 12824073 -1080.1032  130   58  306.00000 -1555.8883   608%  26.5 1070s
 17073643 12891124 -1555.8883   99  117  306.00000 -1555.8883   608%  26.5 1075s
 17173727 12964251 -912.45418  126   50  306.00000 -1555.8883   608%  26.5 1080s
 17269417 13033913 -1555.8883  103   92  306.00000 -1555.8883   608%  26.4 1085s
 17364962 13104614 -1555.8883  130   59  306.00000 -1555.8883   608%  26.4 1090s
 17454836 13169127 -1555.8883   99   86  306.00000 -1555.8883   608%  26.4 1095s
 17553331 13239584  171.12023  155   35  306.00000 -1555.8883   608%  26.4 1100s
 17650194 13310418 -1555.8883  125   94  306.00000 -1555.8883   608%  26.4 1105s
 17750054 13382786  -48.48830  134   23  306.00000 -1555.8883   608%  26.4 1110s
 17815870 13430886 -1555.8883  120   71  306.00000 -1555.8883   608%  26.4 1115s
 17905463 13498041 -1327.4419  119   69  306.00000 -1555.8883   608%  26.4 1120s
 18008505 13572029 -1555.8883  103  101  306.00000 -1555.8883   608%  26.3 1125s
 18105549 13643476  144.50131  161   30  306.00000 -1555.8883   608%  26.3 1130s
 18195301 13708135 -1555.8883  118  106  306.00000 -1555.8883   608%  26.3 1135s
 18291284 13776869 -229.44136  119   35  306.00000 -1555.8883   608%  26.3 1140s
 18361074 13825687 -1152.7979  129   58  306.00000 -1555.8883   608%  26.3 1146s
 18420436 13871808 -1555.8883  134  113  306.00000 -1555.8883   608%  26.3 1150s
 18519455 13943035  138.99074  119   27  306.00000 -1555.8883   608%  26.3 1155s
 18617207 14013568 -1555.8883   89  117  306.00000 -1555.8883   608%  26.3 1160s
 18710063 14079779 -1555.8883  109   73  306.00000 -1555.8883   608%  26.3 1165s
 18804199 14148995 -1555.8883   88   96  306.00000 -1555.8883   608%  26.3 1170s
 18900847 14217803 -1555.8883  103  102  306.00000 -1555.8883   608%  26.2 1175s
 18999900 14289991 -1555.8883  121  107  306.00000 -1555.8883   608%  26.2 1180s
 19096583 14360321 -481.41582  128   37  306.00000 -1555.8883   608%  26.2 1185s
 19197334 14433912 -1555.8883  110   89  306.00000 -1555.8883   608%  26.2 1190s
 19291698 14502834 -1213.5652  125   58  306.00000 -1555.8883   608%  26.2 1195s
 19381162 14567424 -1555.8883   95  121  306.00000 -1555.8883   608%  26.2 1200s
 19434818 14605749 -1555.8883  135   92  306.00000 -1555.8883   608%  26.2 1205s
 19493074 14646084 -1555.8883  105  111  306.00000 -1555.8883   608%  26.2 1210s
 19588229 14714656 -1555.8883  109  115  306.00000 -1555.8883   608%  26.2 1215s
 19687042 14787245 -1555.8883  144   82  306.00000 -1555.8883   608%  26.2 1220s
 19787577 14861373 -1555.8883  131   79  306.00000 -1555.8883   608%  26.1 1225s
 19888445 14935719 -100.06226  151   23  306.00000 -1555.8883   608%  26.1 1230s
 19983111 15005514  -52.84268  147   32  306.00000 -1555.8883   608%  26.1 1235s
 20080173 15075884 -1555.8883  108   90  306.00000 -1555.8883   608%  26.1 1240s
 20182439 15150586 -125.55341  137   31  306.00000 -1555.8883   608%  26.1 1245s
 20278801 15219897 -1555.8883  112  101  306.00000 -1555.8883   608%  26.1 1250s
 20381578 15295918 -1473.3479  102   68  306.00000 -1555.8883   608%  26.1 1255s
 20481596 15368690 -1555.8883  106  115  306.00000 -1555.8883   608%  26.1 1260s
 20583220 15442398 -1555.8883  116   99  306.00000 -1555.8883   608%  26.1 1265s
 20626118 15473696 -1555.8883   84  110  306.00000 -1555.8883   608%  26.0 1270s
 20722940 15545233 -1555.8883   94  125  306.00000 -1555.8883   608%  26.0 1275s
 20821281 15616230   -0.33660  131   32  306.00000 -1555.8883   608%  26.0 1280s
 20917896 15683330 -1555.8883  103  117  306.00000 -1555.8883   608%  26.0 1285s
 21017497 15753083 -1555.8883   97  114  306.00000 -1555.8883   608%  26.0 1290s
 21109465 15818878 -1555.8883  127  100  306.00000 -1555.8883   608%  26.0 1295s
 21206339 15889362 -1555.8883  131   83  306.00000 -1555.8883   608%  26.0 1300s
 21300565 15956907 -1555.8883   98   79  306.00000 -1555.8883   608%  26.0 1305s
 21366678 16005449  273.81645  133   30  306.00000 -1555.8883   608%  26.0 1310s
 21465318 16078944 -1555.8883  100   94  306.00000 -1555.8883   608%  25.9 1315s
 21565655 16151513 -1514.8203  116   64  306.00000 -1555.8883   608%  25.9 1320s
 21662714 16221003 -658.96335  101   61  306.00000 -1555.8883   608%  25.9 1325s
 21716399 16257603 -1555.8883  100   99  306.00000 -1555.8883   608%  25.9 1330s
 21809690 16329987  158.03077  164   21  306.00000 -1555.8883   608%  25.9 1335s
 21906090 16397940 -1555.8883  108  103  306.00000 -1555.8883   608%  25.9 1340s
 22004278 16468808 -1555.8883   96   94  306.00000 -1555.8883   608%  25.9 1345s
 22100222 16536317   33.02765  143   24  306.00000 -1555.8883   608%  25.9 1350s
 22200523 16609026 -1555.8883  105   99  306.00000 -1555.8883   608%  25.9 1355s
 22294154 16677410 -1555.8883  120  108  306.00000 -1555.8883   608%  25.9 1360s
 22394985 16750288 -1555.8883  105   91  306.00000 -1555.8883   608%  25.9 1365s
 22491079 16820293 -1555.8883   93  102  306.00000 -1555.8883   608%  25.8 1370s
 22577374 16880303     cutoff  148       306.00000 -1555.8883   608%  25.8 1375s
 22662240 16943819 -1555.8883  120  101  306.00000 -1555.8883   608%  25.8 1380s
 22732474 16992214 -487.63078  141   59  306.00000 -1555.8883   608%  25.8 1385s
 22809029 17051104 -1555.8883  122   87  306.00000 -1555.8883   608%  25.8 1390s
 22905796 17120695 -1555.8883   91  122  306.00000 -1555.8883   608%  25.8 1395s
