
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 22:35:56 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.05s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2695763 2388727 -2919.7918   81  246  402.00000 -2919.7918   826%  41.0  450s
 2729523 2420810 -2919.7918   73  272  402.00000 -2919.7918   826%  41.0  455s
 2767458 2454049 -1248.3821  227   48  402.00000 -2919.7918   826%  40.9  460s
 2800288 2484817 -2919.7918   92  281  402.00000 -2919.7918   826%  40.9  465s
 2842180 2520005 -2919.7918   82  196  402.00000 -2919.7918   826%  40.8  470s
 2867361 2543925 -2919.7918   67  294  402.00000 -2919.7918   826%  41.0  475s
 2908612 2579681 -2919.7918   88  276  402.00000 -2919.7918   826%  40.9  480s
 2939311 2607472 -2919.7918  104  245  402.00000 -2919.7918   826%  40.9  485s
 2976628 2639670 -2919.7918  135  198  402.00000 -2919.7918   826%  40.8  490s
 3013558 2673325 -2919.7918   97  293  402.00000 -2919.7918   826%  40.7  495s
 3051747 2706678 -2919.7918   93  240  402.00000 -2919.7918   826%  40.6  500s
 3090343 2741162 -2919.7918   82  255  402.00000 -2919.7918   826%  40.6  505s
 3124676 2771092 -2919.7918   62  253  402.00000 -2919.7918   826%  40.5  510s
 3159878 2800011 -2919.7918   67  246  402.00000 -2919.7918   826%  40.6  515s
 3193861 2832682 -2919.7918  107  213  402.00000 -2919.7918   826%  40.6  520s
 3228060 2862643 -2919.7918   78  211  402.00000 -2919.7918   826%  40.6  525s
 3268689 2898191 -2919.7918  162  131  402.00000 -2919.7918   826%  40.5  530s
 3298608 2923073 -2919.7918   57  302  402.00000 -2919.7918   826%  40.4  535s
 3331258 2955231 -2919.7918   68  255  402.00000 -2919.7918   826%  40.5  540s
 3360232 2982084 -2919.7918  154  153  402.00000 -2919.7918   826%  40.5  545s
 3392994 3012019 -2919.7918  111  217  402.00000 -2919.7918   826%  40.5  550s
 3401361 3015059 -2919.7918   93  255  402.00000 -2919.7918   826%  40.6  562s
 3407633 3025619 -2919.7918   70  282  402.00000 -2919.7918   826%  40.7  565s
 3439183 3052309 -2919.7918  116  204  402.00000 -2919.7918   826%  40.7  570s
 3477229 3086307 -2233.0123  187   76  402.00000 -2919.7918   826%  40.7  575s
 3511500 3118314 -2919.7918   93  255  402.00000 -2919.7918   826%  40.7  580s
 3546508 3149063 -2919.7918  100  205  402.00000 -2919.7918   826%  40.6  585s
 3575787 3174933 -2919.7918   95  274  402.00000 -2919.7918   826%  40.8  590s
 3617942 3210882 -2919.7918   76  295  402.00000 -2919.7918   826%  40.7  595s
 3646100 3237957 -2919.7918  117  160  402.00000 -2919.7918   826%  40.8  600s
 3683444 3271100 -2919.7918   78  271  402.00000 -2919.7918   826%  40.8  605s
 3718029 3302020 -2919.7918  113  223  402.00000 -2919.7918   826%  40.8  610s
 3757266 3337745 -2919.7918  160  133  402.00000 -2919.7918   826%  40.7  615s
 3795369 3370073 -2919.7918   84  208  402.00000 -2919.7918   826%  40.6  620s
 3824201 3393543 -417.36537  230   36  402.00000 -2919.7918   826%  40.6  628s
 3833554 3405074 -2919.7918  114  154  402.00000 -2919.7918   826%  40.6  630s
 3872597 3439731 -2919.7918   97  261  402.00000 -2919.7918   826%  40.5  635s
 3909309 3471962 -2919.7918  101  245  402.00000 -2919.7918   826%  40.4  640s
 3948779 3506298 -2919.7918   87  184  402.00000 -2919.7918   826%  40.4  645s
 3985567 3540015 -2919.7918   73  257  402.00000 -2919.7918   826%  40.3  650s
 4033117 3581401 -2919.7918  106  129  402.00000 -2919.7918   826%  40.2  655s
 4072917 3617160 -2919.7918  146  172  402.00000 -2919.7918   826%  40.1  660s
 4101964 3643866 -2919.7918   84  251  402.00000 -2919.7918   826%  40.0  665s
 4137962 3674802 -2919.7918   98  185  402.00000 -2919.7918   826%  40.0  670s
 4178796 3711546 -2919.7918  110  157  402.00000 -2919.7918   826%  40.0  675s
 4219044 3747585 -2919.7918   72  274  402.00000 -2919.7918   826%  40.0  680s
 4255176 3775676 -2919.7918   98  273  402.00000 -2919.7918   826%  39.9  685s
 4293949 3813138 -2919.7918   82  255  402.00000 -2919.7918   826%  39.9  690s
 4327807 3841593 -2919.7918   56  253  402.00000 -2919.7918   826%  40.0  695s
 4360719 3870965 -2919.7918  165  146  402.00000 -2919.7918   826%  39.9  700s
 4403411 3908584 -2919.7918   73  278  402.00000 -2919.7918   826%  39.8  705s
 4439256 3941153 -2919.7918   76  285  402.00000 -2919.7918   826%  39.9  710s
 4474031 3973600 -2919.7918  102  233  402.00000 -2919.7918   826%  39.9  715s
 4512000 4005865 -2919.7918   76  284  402.00000 -2919.7918   826%  39.9  720s
 4554112 4042915 -2919.7918  132  199  402.00000 -2919.7918   826%  39.8  725s
 4592019 4076218 -2919.7918  130  171  402.00000 -2919.7918   826%  39.8  730s
 4633851 4114417 -2919.7918   80  270  402.00000 -2919.7918   826%  39.7  735s
 4667895 4144110 -2919.7918   70  235  402.00000 -2919.7918   826%  39.7  740s
 4713129 4182045 -2919.7918   94  227  402.00000 -2919.7918   826%  39.6  745s
 4747874 4214115 -2919.7918  102  249  402.00000 -2919.7918   826%  39.6  750s
 4784866 4246998 -1177.0099  223   57  402.00000 -2919.7918   826%  39.6  755s
 4824683 4283226 -2919.7918  162  146  402.00000 -2919.7918   826%  39.6  760s
 4863473 4316004 -2919.7918   85  278  402.00000 -2919.7918   826%  39.5  765s
 4899972 4348395 -2919.7918   87  261  402.00000 -2919.7918   826%  39.5  770s
 4935900 4380562 -2919.7918   97  269  402.00000 -2919.7918   826%  39.6  775s
 4960984 4404053 -2919.7918   85  260  402.00000 -2919.7918   826%  39.7  780s
 5003117 4439486 -2919.7918  104  193  402.00000 -2919.7918   826%  39.6  785s
 5039231 4472796 -2919.7918   68  271  402.00000 -2919.7918   826%  39.6  790s
 5078588 4506785 -2919.7918  151  144  402.00000 -2919.7918   826%  39.6  795s
 5120369 4543454 -2919.7918   81  241  402.00000 -2919.7918   826%  39.5  800s
 5159412 4581856 -2919.7918  112  210  402.00000 -2919.7918   826%  39.5  805s
 5199320 4615595 -2919.7918  140  176  402.00000 -2919.7918   826%  39.5  810s
 5237967 4648965 -2919.7918   75  251  402.00000 -2919.7918   826%  39.5  815s
 5275980 4681812 -2919.7918  123  166  402.00000 -2919.7918   826%  39.5  820s
 5310680 4712650 -2919.7918   78  226  402.00000 -2919.7918   826%  39.5  825s
 5348193 4744719 -2919.7918   61  286  402.00000 -2919.7918   826%  39.4  830s
 5379421 4773733 -2919.7918  115  214  402.00000 -2919.7918   826%  39.5  835s
 5422596 4812419 -2919.7918  182  116  402.00000 -2919.7918   826%  39.4  840s
 5465304 4849472 -2919.7918  118  250  402.00000 -2919.7918   826%  39.4  845s
 5505202 4883607 -2919.7918   66  277  402.00000 -2919.7918   826%  39.4  850s
 5536058 4911742 -1972.2663  204   72  402.00000 -2919.7918   826%  39.4  855s
 5570511 4940849 -2919.7918   92  134  402.00000 -2919.7918   826%  39.4  860s
 5611488 4979451 -2919.7918   96  263  402.00000 -2919.7918   826%  39.4  865s
 5649354 5010441     cutoff  196       402.00000 -2919.7918   826%  39.4  870s
 5679639 5036433 -2919.7918  113  166  402.00000 -2919.7918   826%  39.4  875s
 5708701 5062674 -2919.7918   97  168  402.00000 -2919.7918   826%  39.4  880s
 5745615 5097780 -2919.7918   77  251  402.00000 -2919.7918   826%  39.5  885s
 5785859 5130882 -2919.7918   63  294  402.00000 -2919.7918   826%  39.4  890s
 5816510 5158310 -2919.7918  100  276  402.00000 -2919.7918   826%  39.4  895s
 5859197 5198571 -2919.7918  100  246  402.00000 -2919.7918   826%  39.4  900s
